generation,best_result0,best_result1,best_result2,best_result3,best_result4,best_result5,best_result6,best_result7,best_result8,best_result9,best_result10,best_result11,best_result12,best_result13,best_result14,best_result15,best_result16,best_result17,best_result18,best_result19,best_result20,best_result21,best_result22,best_result23,best_result24,best_result25,best_result26,best_result27,best_result28,best_result29,best_result30,best_result31,best_result32,best_result33,best_result34,best_result35,best_result36,best_result37,best_result38,best_result39,best_result40,best_result41,best_result42,best_result43,best_result44,best_result45,best_result46,best_result47,best_result48,best_result49,mean_result
24,232.0,234.0,235.0,234.0,232.0,234.0,236.0,236.0,239.0,,,,227.0,232.0,231.0,236.0,235.0,233.0,232.0,237.0,,224.0,234.0,234.0,237.0,234.0,237.0,226.0,235.0,,,234.0,,,,,235.0,,228.0,237.0,234.0,,237.0,235.0,235.0,235.0,234.0,231.0,235.0,234,233.68421052631578
25,,234.0,235.0,234.0,232.0,,236.0,236.0,239.0,,,,227.0,232.0,231.0,236.0,235.0,233.0,232.0,237.0,,224.0,234.0,234.0,237.0,234.0,237.0,226.0,235.0,,,234.0,,,,,235.0,,228.0,237.0,234.0,,237.0,235.0,235.0,,234.0,231.0,,234,233.64705882352942
26,,234.0,235.0,234.0,232.0,,236.0,236.0,239.0,,,,227.0,232.0,231.0,236.0,235.0,233.0,232.0,,,224.0,,234.0,237.0,234.0,237.0,226.0,235.0,,,234.0,,,,,235.0,,228.0,,234.0,,237.0,,235.0,,234.0,231.0,,234,233.36666666666667
27,,234.0,235.0,234.0,,,,,239.0,,,,227.0,232.0,231.0,236.0,235.0,233.0,232.0,,,224.0,,,237.0,,237.0,226.0,235.0,,,,,,,,235.0,,228.0,,234.0,,237.0,,235.0,,234.0,231.0,,234,233.125
28,,234.0,235.0,234.0,,,,,239.0,,,,227.0,,231.0,,235.0,233.0,232.0,,,224.0,,,237.0,,237.0,,235.0,,,,,,,,235.0,,228.0,,234.0,,237.0,,235.0,,234.0,231.0,,234,233.38095238095238
29,,234.0,235.0,234.0,,,,,,,,,,,231.0,,235.0,233.0,232.0,,,224.0,,,,,237.0,,235.0,,,,,,,,,,228.0,,234.0,,237.0,,235.0,,,231.0,,234,233.0625
30,,234.0,235.0,234.0,,,,,,,,,,,231.0,,235.0,233.0,232.0,,,224.0,,,,,237.0,,235.0,,,,,,,,,,,,234.0,,,,235.0,,,,,234,233.30769230769232
31,,234.0,235.0,234.0,,,,,,,,,,,,,235.0,233.0,232.0,,,224.0,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,232.77777777777777
32,,,235.0,234.0,,,,,,,,,,,,,235.0,233.0,232.0,,,224.0,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,232.625
33,,,235.0,234.0,,,,,,,,,,,,,,233.0,232.0,,,224.0,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,232.28571428571428
34,,,235.0,234.0,,,,,,,,,,,,,,233.0,232.0,,,224.0,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,232.28571428571428
35,,,235.0,,,,,,,,,,,,,,,233.0,232.0,,,224.0,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,232.0
36,,,235.0,,,,,,,,,,,,,,,233.0,232.0,,,224.0,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,232.0
37,,,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,234,233.33333333333334
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,234.0
